Nume Produs,Pret,Numar Review-uri
"Asus VivoBook...",$295.99,"14 reviews"
"Prestigio Smar...",$299,"8 reviews"
"Prestigio Smar...",$299,"12 reviews"
"Aspire E1-510",$306.99,"2 reviews"
"Lenovo V110-15...",$321.94,"5 reviews"
"Lenovo V110-15...",$356.49,"6 reviews"
"Hewlett Packar...",$364.46,"12 reviews"
"Acer Aspire 3...",$372.7,"2 reviews"
"Acer Aspire A3...",$379.94,"0 reviews"
"Acer Aspire ES...",$379.95,"9 reviews"
"Acer Aspire 3...",$391.48,"10 reviews"
"Acer Aspire 3...",$393.88,"9 reviews"
"Asus VivoBook...",$399,"4 reviews"
"Asus VivoBook...",$399.99,"3 reviews"
"Lenovo ThinkPa...",$404.23,"12 reviews"
"Acer Aspire 3...",$408.98,"10 reviews"
"Lenovo V110-15...",$409.63,"9 reviews"
"Acer Aspire ES...",$410.46,"14 reviews"
"Asus VivoBook...",$410.66,"4 reviews"
"Packard 255 G2",$416.99,"2 reviews"
"Asus EeeBook R...",$433.3,"1 reviews"
"Acer Aspire 3...",$436.29,"1 reviews"
"Acer Aspire ES...",$436.29,"2 reviews"
"Acer Extensa 1...",$439.73,"6 reviews"
"Acer Aspire ES...",$454.62,"9 reviews"
"Lenovo V110-15...",$454.73,"2 reviews"
"Acer Aspire A3...",$457.38,"9 reviews"
"Lenovo V110-15...",$465.95,"7 reviews"
"Asus VivoBook...",$468.56,"1 reviews"
"Acer Aspire ES...",$469.1,"5 reviews"
"Lenovo V510 Bl...",$484.23,"8 reviews"
"Acer Aspire ES...",$485.9,"6 reviews"
"Lenovo V510 Bl...",$487.8,"9 reviews"
"Acer Swift 1 S...",$488.64,"4 reviews"
"Dell Vostro 15",$488.78,"14 reviews"
"Acer Aspire 3...",$494.71,"2 reviews"
"Dell Vostro 15...",$497.17,"9 reviews"
"Lenovo V510 Bl...",$498.23,"5 reviews"
"HP 250 G3",$520.99,"13 reviews"
"Acer Spin 5",$564.98,"0 reviews"
"HP 350 G1",$577.99,"10 reviews"
"Aspire E1-572G",$581.99,"2 reviews"
"Pavilion",$609.99,"4 reviews"
"Acer Aspire A5...",$679,"9 reviews"
"Dell Inspiron...",$679,"7 reviews"
"Asus VivoBook...",$729,"2 reviews"
"ProBook",$739.99,"8 reviews"
"Inspiron 15",$745.99,"12 reviews"
"Asus ROG STRIX...",$799,"7 reviews"
"Acer Nitro 5 A...",$809,"0 reviews"
"Asus ROG STRIX...",$899,"7 reviews"
"Lenovo ThinkPa...",$999,"11 reviews"
"ThinkPad Yoga",$1033.99,"13 reviews"
"Lenovo ThinkPa...",$1096.02,"14 reviews"
"Dell Inspiron...",$1098.42,"7 reviews"
"MSI GL72M 7RDX",$1099,"1 reviews"
"MSI GL72M 7RDX",$1099,"9 reviews"
"Asus ROG Strix...",$1101.83,"4 reviews"
"Dell Latitude...",$1102.66,"8 reviews"
"Dell Latitude...",$1110.14,"4 reviews"
"Lenovo Legion...",$1112.91,"1 reviews"
"Toshiba Porteg...",$1114.55,"0 reviews"
"Acer Predator...",$1123.87,"1 reviews"
"Acer Aspire 7...",$1123.87,"4 reviews"
"Dell Inspiron...",$1124.2,"10 reviews"
"Dell Latitude...",$1133.82,"14 reviews"
"Lenovo Legion...",$1133.91,"13 reviews"
"Asus AsusPro A...",$1139.54,"7 reviews"
"Acer Nitro 5 A...",$1140.62,"14 reviews"
"Dell Latitude...",$1143.4,"5 reviews"
"Dell Inspiron...",$1144.2,"2 reviews"
"Dell Latitude...",$1144.4,"10 reviews"
"Lenovo Legion...",$1149,"11 reviews"
"MSI GP62M 7RDX...",$1149,"11 reviews"
"Lenovo Yoga 72...",$1149.73,"12 reviews"
"Toshiba Porteg...",$1154.04,"7 reviews"
"Acer TravelMat...",$1170.1,"0 reviews"
"Dell Latitude...",$1178.19,"6 reviews"
"ThinkPad T540p",$1178.99,"2 reviews"
"MSI GS63 7RD S...",$1179,"2 reviews"
"Dell Latitude...",$1187.88,"5 reviews"
"Acer Predator...",$1187.98,"14 reviews"
"MSI GL62M 7REX",$1199,"7 reviews"
"MSI GL62M 7REX...",$1199,"12 reviews"
"Lenovo Yoga 91...",$1199.73,"7 reviews"
"Toshiba Porteg...",$1203.41,"13 reviews"
"Lenovo IdeaPad...",$1212.16,"0 reviews"
"Acer Predator...",$1221.58,"9 reviews"
"ThinkPad Yoga",$1223.99,"2 reviews"
"Asus VivoBook...",$1235.49,"10 reviews"
"Dell Latitude...",$1238.37,"0 reviews"
"Asus ZenBook U...",$1239.2,"14 reviews"
"ThinkPad X230",$1244.99,"10 reviews"
"Asus ROG Strix...",$1259,"7 reviews"
"Apple MacBook...",$1260.13,"8 reviews"
"Dell Latitude...",$1271.06,"13 reviews"
"Hewlett Packar...",$1273.11,"8 reviews"
"Dell XPS 13",$1281.99,"4 reviews"
"Toshiba Porteg...",$1294.74,"6 reviews"
"MSI GL62VR 7RF...",$1299,"1 reviews"
"Dell Latitude...",$1310.39,"8 reviews"
"ThinkPad X240",$1311.99,"12 reviews"
"Hewlett Packar...",$1326.83,"2 reviews"
"Apple MacBook...",$1333,"0 reviews"
"Dell Latitude...",$1337.28,"6 reviews"
"Dell Latitude...",$1338.37,"11 reviews"
"Dell Latitude...",$1341.22,"3 reviews"
"Apple MacBook...",$1347.78,"11 reviews"
"Lenovo ThinkPa...",$1349.23,"5 reviews"
"Lenovo ThinkPa...",$1362.24,"12 reviews"
"Toshiba Porteg...",$1366.32,"11 reviews"
"Asus ASUSPRO B...",$1381.13,"4 reviews"
"Lenovo Legion...",$1399,"8 reviews"
"Asus ROG Strix...",$1399,"10 reviews"
"Asus ROG Strix...",$1769,"7 reviews"
"Asus ROG Strix...",$1769,"8 reviews"
"Asus ROG Strix...",$1799,"8 reviews"
